Entity,Code,Year,Electricity from hydro - TWh
ASEAN (Ember),,2023,192.33
Africa (EI),,2023,161.64522
Africa (Ember),,2023,150.8
Algeria,DZA,2023,0.06878
Argentina,ARG,2023,33.17
Asia (Ember),,2023,1798.5
Asia Pacific (EI),,2023,1788.2231
Australia,AUS,2023,15.76
Austria,AUT,2023,39.79
Azerbaijan,AZE,2023,1.7634
Bangladesh,BGD,2023,0.71
Belarus,BLR,2023,0.3
Belgium,BEL,2023,0.38
Bolivia,BOL,2023,2.31
Bosnia and Herzegovina,BIH,2023,6.37
Brazil,BRA,2023,431.28
Bulgaria,BGR,2023,3.11
CIS (EI),,2023,253.00185
Canada,CAN,2023,365.39
Central America (EI),,2023,25.369589
Chile,CHL,2023,23.9
China,CHN,2023,1245.17
Colombia,COL,2023,54.24
Costa Rica,CRI,2023,8.45
Croatia,HRV,2023,7.87
Cyprus,CYP,2023,0
Czechia,CZE,2023,2.34
Denmark,DNK,2023,0.01
Eastern Africa (EI),,2023,82.131325
Ecuador,ECU,2023,26.58
Egypt,EGY,2023,13.88
El Salvador,SLV,2023,0.88
Estonia,EST,2023,0.02
Europe (EI),,2023,638.69946
Europe (Ember),,2023,818.3
Finland,FIN,2023,15.11
France,FRA,2023,53.19
G20 (Ember),,2023,3185.34
G7 (Ember),,2023,788.98
Georgia,GEO,2023,10.85
Germany,DEU,2023,19.48
Greece,GRC,2023,3.87
Hong Kong,HKG,2023,0
Hungary,HUN,2023,0.22
Iceland,ISL,2023,14.220852
India,IND,2023,149.19
Indonesia,IDN,2023,24.59
Iran,IRN,2023,13.95
Iraq,IRQ,2023,3.3878062
Ireland,IRL,2023,0.94
Israel,ISR,2023,0.023244247
Italy,ITA,2023,37.94
Japan,JPN,2023,73.79
Kazakhstan,KAZ,2023,8.77
Kenya,KEN,2023,2.7
Kosovo,OWID_KOS,2023,0.54
Kuwait,KWT,2023,0
Latin America and Caribbean (Ember),,2023,782.1
Latvia,LVA,2023,3.8
Lithuania,LTU,2023,0.46
Luxembourg,LUX,2023,0.07
Malaysia,MYS,2023,31.505793
Malta,MLT,2023,0
Mexico,MEX,2023,20.74
Middle Africa (EI),,2023,33.70847
Middle East (EI),,2023,27.58026
Middle East (Ember),,2023,18
Moldova,MDA,2023,0.34
Mongolia,MNG,2023,0.08
Montenegro,MNE,2023,2.14
Morocco,MAR,2023,0.56
Myanmar,MMR,2023,10.05
Netherlands,NLD,2023,0.06
New Zealand,NZL,2023,26.04
Nigeria,NGA,2023,8.28
Non-OECD (EI),,2023,2854.5195
North America (EI),,2023,620.91724
North America (Ember),,2023,599.75
North Macedonia,MKD,2023,1.64
Norway,NOR,2023,135.96
OECD (EI),,2023,1385.4923
OECD (Ember),,2023,1371.26
Oceania (Ember),,2023,43.56
Oman,OMN,2023,0
Pakistan,PAK,2023,37.9
Paraguay,PRY,2023,56.83
Peru,PER,2023,31.51
Philippines,PHL,2023,9.09
Poland,POL,2023,2.38
Portugal,PRT,2023,10.98
Qatar,QAT,2023,0
Romania,ROU,2023,18.3
Russia,RUS,2023,200.6
Saudi Arabia,SAU,2023,0
Serbia,SRB,2023,12.9
Slovakia,SVK,2023,4.63
Slovenia,SVN,2023,4.96
South Africa,ZAF,2023,1.96
South Korea,KOR,2023,3.7
South and Central America (EI),,2023,749.9448
Spain,ESP,2023,20.01
Sri Lanka,LKA,2023,5.85944
Sweden,SWE,2023,66.07
Switzerland,CHE,2023,38.55
Taiwan,TWN,2023,4.14
Thailand,THA,2023,6.6
Trinidad and Tobago,TTO,2023,0
Tunisia,TUN,2023,0.01
Turkey,TUR,2023,63.72
Turkmenistan,TKM,2023,0.00315
Ukraine,UKR,2023,12.711117
United Kingdom,GBR,2023,5.23
United States,USA,2023,233.96
Uruguay,URY,2023,3.62
Uzbekistan,UZB,2023,6.9972
Venezuela,VEN,2023,65.59177
Vietnam,VNM,2023,76.79
Western Africa (EI),,2023,27.973825
World,OWID_WRL,2023,4211.01